SSN,gender,birthdate,maiden-name,last-name,first-name
172-32-1176,m,4/21/1958,Smith,White,Johnson
514-14-8905,f,12/22/1944,Amaker,Borden,Ashley
213-46-8915,f,4/21/1958,Pinson,Green,Marjorie
524-02-7657,m,3/25/1962,Hall,Munsch,Jerome
489-36-8350,m,06-09-1964,Porter,Aragon,Robert
514-30-2668,f,27-05-1986,Nicholson,Russell,Jacki
505-88-5714,f,23-09-1963,Mcclain,Venson,Lillian
690-05-5315,m,02-10-1969,Kings,Conley,Thomas
646-44-9061,M,12-01-1978,Kurtz,Jackson,Charles
421-37-1396,f,09-04-1980,Linden,Davis,Susan
461-97-5660,f,04-01-1975,Kingdon,Watson,Gail
660-03-8360,f,11-07-1953,Onwunli,Garrison,Lisa
751-01-2327,f,16-02-1968,Simpson,Renfro,Julie
559-81-1301,m,20-01-1952,Mcafee,Heard,James
624-84-9181,m,16-01-1980,Frazier,Reyes,Danny
449-48-3135,m,14-06-1982,Feusier,Hall,Mark
477-36-0282,m,10-03-1961,Vasquez,Mceachern,Monte
458-02-6124,m,20-09-1955,Pennebaker,Diaz,Christopher
